iter	RMSE
0	1.616438466
1	1.561661085
2	1.511141721
3	1.462663116
4	1.417586129
5	1.375792398
6	1.336876756
7	1.299297097
8	1.265502208
9	1.23375554
10	1.2017625
11	1.173268245
12	1.145517492
13	1.118037123
14	1.093237713
15	1.071537153
16	1.049364396
17	1.029797027
18	1.00888758
19	0.989889637
20	0.9735288971
21	0.9583520206
22	0.9445208283
23	0.9288365584
24	0.9152411088
25	0.9035889713
26	0.8898672774
27	0.8799770736
28	0.868828018
29	0.8581072461
30	0.8493909398
31	0.8410656195
32	0.8333743812
33	0.8231408329
34	0.8154843707
35	0.8065787299
36	0.7994222532
37	0.7935737139
38	0.7864982472
39	0.7816320263
40	0.7763896815
41	0.7710588194
42	0.766224671
43	0.762318501
44	0.7586386531
45	0.7541741438
46	0.7506984936
47	0.7458073538
48	0.7405409236
49	0.735029322
50	0.7324066705
51	0.7285948095
52	0.7249553339
53	0.7223915763
54	0.7188842308
55	0.716106344
56	0.7134745556
57	0.7110479373
58	0.707875062
59	0.703666617
60	0.700594393
61	0.6992198496
62	0.6967707325
63	0.6947913109
64	0.6924062241
65	0.6904783783
66	0.6880717646
67	0.6851155282
68	0.6837608301
69	0.6814462672
70	0.6803756603
71	0.6788498446
72	0.6766969143
73	0.674235158
74	0.673419958
75	0.6721853857
76	0.6708174694
77	0.6689963856
78	0.6671304119
79	0.6663528304
80	0.665102104
81	0.6640898545
82	0.6630194176
83	0.6611359465
84	0.6593091249
85	0.6580242566
86	0.6568724963
87	0.6557108549
88	0.6543615439
89	0.6534959764
90	0.6526425887
91	0.6510921626
92	0.6498868258
93	0.6490914636
94	0.6479501493
95	0.6460078171
96	0.6450642506
97	0.6439490034
98	0.643004551
99	0.6417755656
100	0.6405645836
101	0.639826836
102	0.6389889177
103	0.6378290561
104	0.6364304338
105	0.6353730284
106	0.6335992268
107	0.6328760851
108	0.6320741216
109	0.6312580909
110	0.6301756472
111	0.6294535825
112	0.6287565357
113	0.6280404541
114	0.6274417928
115	0.6265289786
116	0.6255342434
117	0.6246025195
118	0.6239036945
119	0.6232696838
120	0.6225668326
121	0.6213515637
122	0.6209325778
123	0.6201573903
124	0.6195173558
125	0.6186202763
126	0.6179794462
127	0.6173201188
128	0.616516923
129	0.6159031587
130	0.6157800037
131	0.6153060582
132	0.6144374729
133	0.6138836949
134	0.6138034924
135	0.6132830352
136	0.6127437762
137	0.611608791
138	0.611221044
139	0.6105516862
140	0.609923054
141	0.609233701
142	0.608822687
143	0.6082061191
144	0.6072311164
145	0.6068906046
146	0.6059025885
147	0.6054770076
148	0.6049543408
149	0.6043113281
150	0.60367849
151	0.6026443649
152	0.6020142691
153	0.6015999033
154	0.6012081445
155	0.6003319208
156	0.5999119395
157	0.5993952696
158	0.5989587802
159	0.5985895346
160	0.5982027135
161	0.5978686179
162	0.5972497281
163	0.5964141881
164	0.5958938131
165	0.5955877327
166	0.5947282758
167	0.5943258337
168	0.5937059229
169	0.5933108595
170	0.5930989647
171	0.592556991
172	0.5922595939
173	0.5918124252
174	0.5915164499
175	0.5911296579
176	0.5907683172
177	0.590294357
178	0.5900594122
179	0.5897731994
180	0.589133266
181	0.5887166183
182	0.5880610179
183	0.5879998433
184	0.5876124905
185	0.5872986519
186	0.5869830091
187	0.5866993991
188	0.5859390576
189	0.5857284422
190	0.585459452
191	0.5850861297
192	0.5847605333
193	0.5843602466
194	0.5841414714
195	0.5835950464
196	0.5832007754
197	0.5828198347
198	0.5825241616
199	0.5822104879
200	0.581879091
201	0.5814430471
202	0.5812409695
203	0.5810355878
204	0.580717043
205	0.5803348427
206	0.5799692011
207	0.5796545554
208	0.5793350418
209	0.5789292285
210	0.5786610469
211	0.5783847821
212	0.5780268608
213	0.5777253817
214	0.5775664189
215	0.5772850085
216	0.5768579456
217	0.5764892991
218	0.5761562123
219	0.57596313
220	0.5756475254
221	0.5754979365
222	0.5753099453
223	0.5751565272
224	0.5749129842
225	0.5745518735
226	0.5743272866
227	0.5741380171
228	0.5739035322
229	0.5736937551
230	0.5730992024
231	0.5728409398
232	0.5727191656
233	0.5724070277
234	0.5722575641
235	0.5720988914
236	0.5717899829
237	0.571578407
238	0.5712680665
239	0.5708024903
240	0.5705255459
241	0.5702990212
242	0.5699356261
243	0.5696696311
244	0.569388546
245	0.5692472575
246	0.5690728808
247	0.5688498494
248	0.5685661939
249	0.5682508144
250	0.5679663614
251	0.5677994999
252	0.5675133824
253	0.5672371588
254	0.5669576438
255	0.5667325849
256	0.5665416341
257	0.5663630792
258	0.5662181284
259	0.5659762286
260	0.5657928904
261	0.5655376237
262	0.5653157501
263	0.5651094768
264	0.5648214908
265	0.5645525146
266	0.5643906302
267	0.5641857242
268	0.5639199032
269	0.5638289176
270	0.5636387807
271	0.5634063679
272	0.5632115816
273	0.5630115093
274	0.562845883
275	0.5626866142
276	0.5622598388
277	0.5620376318
278	0.561851745
279	0.5616378649
280	0.5614566049
281	0.5612718737
282	0.5610847113
283	0.5609459893
284	0.5607944525
285	0.5606848479
286	0.5605151961
287	0.5603594946
288	0.5601725497
289	0.5600267034
290	0.5598976061
291	0.5597258156
292	0.5595686153
293	0.5594436982
294	0.5591134918
295	0.5589406372
296	0.5587284603
297	0.5585594991
298	0.5584316253
299	0.5582776348
